Ticker,Support Level 1,Support Level 2,Support Level 3,Support Level 4,Support Level 5,Support Level 6,Support Level 7
TGT,96.27,102.88,104.89,115.84,121.33,123.64,124.77
TEL,119.97,123.43,126.45,128.58,130.49,135.74,137.84
TDY,382.84,388.13,393.03,397.98,401.42,406.0,409.22
TER,79.44,86.74,91.51,95.87,98.96,101.23,103.18
TSLA,172.63,177.54,183.28,193.76,205.75,214.14,220.32
TXN,145.36,149.79,153.72,157.19,159.09,160.45,161.97
TPL,441.68,478.38,491.22,513.07,534.63,558.95,575.83
TXT,65.56,67.86,72.32,74.28,75.4,75.98,76.56
TMO,432.27,464.45,493.25,507.12,514.34,519.11,524.06
TJX,80.45,84.18,86.36,87.37,88.84,90.75,93.15
TKO,77.84,79.75,81.76,84.77,87.06,95.61,97.32
TSCO,39.68,40.99,42.06,42.71,43.27,43.89,45.82
TT,183.07,192.0,198.0,201.93,222.35,237.56,265.93
TDG,751.64,781.4,798.56,814.88,907.02,944.48,1050.55
TRV,157.99,162.64,164.75,167.15,170.87,183.0,202.98
TRMB,46.4,49.4,50.77,51.64,52.26,52.92,53.86
TFC,26.05,27.13,27.8,28.94,29.78,32.93,33.86
TYL,380.84,388.32,393.6,402.95,410.98,414.59,418.4
TSN,45.03,47.25,48.26,49.45,50.45,51.41,52.08
USB,29.58,30.44,32.51,34.05,36.3,37.33,37.95
UBER,42.73,44.24,45.35,47.17,54.44,60.68,62.72
UDR,31.9,33.39,34.24,34.94,35.49,35.92,36.39
ULTA,350.57,363.3,367.76,373.21,379.11,382.91,388.46
UNP,195.36,199.66,204.75,212.61,216.05,219.94,223.19
UAL,38.82,40.24,41.38,42.3,43.07,44.36,46.39
UPS,98.04,112.16,117.79,121.66,123.22,125.25,127.43
URI,399.43,430.19,441.16,455.33,470.52,544.08,578.5
UNH,438.62,463.51,468.89,476.36,481.3,485.21,489.47
UHS,125.95,128.75,133.61,136.76,148.72,152.69,157.76
VLO,106.72,111.51,117.14,119.5,120.87,123.15,124.83
VTR,39.96,40.66,41.31,41.83,42.3,42.95,44.49
VRSN,174.37,177.15,179.51,181.51,184.41,186.59,189.44
VRSK,220.89,224.66,228.77,232.21,234.26,235.77,237.85
VZ,29.29,29.86,30.75,31.49,32.85,34.83,36.62
VRTX,343.87,347.89,350.74,354.81,367.55,397.27,405.27
VTRS,8.37,8.64,8.84,9.05,9.2,9.41,9.7
VICI,26.33,26.68,26.94,27.23,27.51,27.75,28.04
V,226.14,232.94,236.2,240.09,246.84,255.91,261.15
VST,25.19,27.75,31.25,32.42,34.26,37.62,42.31
VMC,201.07,207.51,210.88,214.6,219.66,221.6,225.17
WRB,37.61,39.34,40.31,41.82,44.95,46.88,50.69
GWW,681.85,698.25,715.48,753.62,785.25,814.09,883.19
WAB,101.38,105.2,108.95,111.74,115.59,125.04,132.57
WBA,8.66,8.98,9.44,10.11,10.52,10.89,11.12
WMT,50.25,50.83,51.51,51.99,52.72,53.36,55.25
DIS,81.55,83.67,85.16,87.21,88.4,89.53,90.42
WBD,7.32,7.63,7.92,8.11,8.29,8.42,8.56
WM,153.8,156.56,159.13,164.14,167.89,174.59,184.85
WAT,256.62,263.53,268.87,275.29,286.47,292.02,304.18
WEC,75.0,75.65,76.46,77.06,77.74,78.31,79.15
WFC,38.75,39.49,40.17,41.25,43.15,46.84,48.09
WELL,76.49,78.05,79.62,81.07,84.16,85.77,87.36
WST,213.15,225.34,287.28,299.13,306.71,317.49,321.96
WDC,29.39,30.55,32.18,33.59,34.78,36.52,39.62
WY,26.26,27.41,28.03,28.59,29.08,29.41,29.62
WSM,60.56,65.25,69.15,74.45,87.31,97.34,101.85
WMB,29.6,31.45,32.0,32.25,32.66,33.08,33.6
WTW,202.05,207.58,219.32,227.06,234.32,239.04,246.96
WDAY,210.83,214.13,218.73,223.08,226.48,229.8,232.47
WYNN,75.43,79.07,81.89,83.12,84.64,85.8,87.25
XEL,51.32,52.12,52.92,53.7,54.6,55.63,56.32
XYL,90.58,96.58,100.25,104.78,108.77,110.17,111.51
YUM,120.7,123.15,124.82,125.63,126.76,127.77,129.39
ZBRA,215.66,228.92,242.07,251.38,256.99,267.98,273.49
ZBH,101.32,103.05,104.1,105.09,106.03,107.0,107.93
ZTS,153.03,159.27,161.92,163.55,164.83,166.41,167.68
